bom_title,budget,cast,filmmakers,genres,gross_domestic,gross_international,gross_worldwide,input_title,input_year,opening_weekend,release_date,runtime_minutes,source_url
Before the Sunset,,"[{'actor': 'Hiroshi Akabane', 'role': 'Director'}, {'actor': 'Ryuho Okawa', 'role': 'Writer'}, {'actor': 'Evan Bittencourt', 'role': 'Kazunori Terasawa (Young) See more'}, {'actor': 'Clayton Conroy', 'role': 'Toranosuke Ichiyama See more'}, {'actor': 'Peter Mendoza', 'role': 'Koji Yanagihara See more'}]","[{'name': 'Hiroshi Akabane', 'role': 'Director'}, {'name': 'Ryuho Okawa', 'role': 'Writer'}, {'name': 'Evan Bittencourt', 'role': 'Kazunori Terasawa (Young) See more'}, {'name': 'Clayton Conroy', 'role': 'Toranosuke Ichiyama See more'}, {'name': 'Peter Mendoza', 'role': 'Koji Yanagihara See more'}]",Drama Fantasy,23306,1414400,1437706,Before the Sunset,2023,6131,"September 29, 2023 (APAC, Domestic)",119,https://www.boxofficemojo.com/title/tt28758809/
Dumb Money,,"[{'actor': 'Craig Gillespie', 'role': 'Director'}, {'actor': 'Lauren Schuker Blum', 'role': 'Writer'}, {'actor': 'Rebecca Angelo', 'role': 'Writer'}, {'actor': 'Ben Mezrich', 'role': 'Writer'}, {'actor': 'Craig Gillespie', 'role': 'Producer'}, {'actor': 'Aaron Ryder', 'role': 'Producer'}, {'actor': 'Teddy Schwarzman', 'role': 'Producer'}, {'actor': 'Will Bates', 'role': 'Composer'}, {'actor': 'Nicolas Karakatsanis', 'role': 'Cinematographer'}, {'actor': 'Kirk Baxter', 'role': 'Editor'}, {'actor': 'Scott Kuzio', 'role': 'Production Designer'}, {'actor': 'Paul Dano', 'role': 'Keith Gill See more'}, {'actor': 'Pete Davidson', 'role': 'Kevin Gill See more'}, {'actor': ""Vincent D'Onofrio"", 'role': 'Steve Cohen See more'}, {'actor': 'America Ferrera', 'role': 'Jenny See more'}]","[{'name': 'Craig Gillespie', 'role': 'Director'}, {'name': 'Lauren Schuker Blum', 'role': 'Writer'}, {'name': 'Rebecca Angelo', 'role': 'Writer'}, {'name': 'Ben Mezrich', 'role': 'Writer'}, {'name': 'Craig Gillespie', 'role': 'Producer'}, {'name': 'Aaron Ryder', 'role': 'Producer'}, {'name': 'Teddy Schwarzman', 'role': 'Producer'}, {'name': 'Will Bates', 'role': 'Composer'}, {'name': 'Nicolas Karakatsanis', 'role': 'Cinematographer'}, {'name': 'Kirk Baxter', 'role': 'Editor'}, {'name': 'Scott Kuzio', 'role': 'Production Designer'}, {'name': 'Paul Dano', 'role': 'Keith Gill See more'}, {'name': 'Pete Davidson', 'role': 'Kevin Gill See more'}, {'name': ""Vincent D'Onofrio"", 'role': 'Steve Cohen See more'}, {'name': 'America Ferrera', 'role': 'Jenny See more'}]",Biography Comedy Drama,13925356,6761614,20703794,Dumb Money,2023,220947,"September 15, 2023 (Domestic)",105,https://www.boxofficemojo.com/title/tt13957560/
Siege,,"[{'actor': 'Miguel Ángel Vivas', 'role': 'Director'}, {'actor': 'Marta Medina', 'role': 'Writer'}, {'actor': 'José Rodríguez', 'role': 'Writer'}, {'actor': 'Miguel Ángel Vivas', 'role': 'Writer'}, {'actor': 'Enrique López Lavigne', 'role': 'Producer'}, {'actor': 'Sergio Acosta', 'role': 'Composer'}, {'actor': 'Rafael Reparaz', 'role': 'Cinematographer'}, {'actor': 'Luis de la Madrid', 'role': 'Editor'}, {'actor': 'Natalia de Molina', 'role': 'Dani See more'}, {'actor': 'Bella Agossou', 'role': 'Nasha See more'}, {'actor': 'Francisco Reyes', 'role': 'Trajano See more'}, {'actor': 'Fran Cantos', 'role': 'Coria See more'}]","[{'name': 'Miguel Ángel Vivas', 'role': 'Director'}, {'name': 'Marta Medina', 'role': 'Writer'}, {'name': 'José Rodríguez', 'role': 'Writer'}, {'name': 'Miguel Ángel Vivas', 'role': 'Writer'}, {'name': 'Enrique López Lavigne', 'role': 'Producer'}, {'name': 'Sergio Acosta', 'role': 'Composer'}, {'name': 'Rafael Reparaz', 'role': 'Cinematographer'}, {'name': 'Luis de la Madrid', 'role': 'Editor'}, {'name': 'Natalia de Molina', 'role': 'Dani See more'}, {'name': 'Bella Agossou', 'role': 'Nasha See more'}, {'name': 'Francisco Reyes', 'role': 'Trajano See more'}, {'name': 'Fran Cantos', 'role': 'Coria See more'}]",Action Adventure Crime Drama Thriller,684,147165,147849,Siege,2023,466,"May 5, 2023 (Spain)",100,https://www.boxofficemojo.com/title/tt16156592/
Senior Year: Love Never Fails,,"[{'actor': 'Jude Okwudiafor Johnson', 'role': 'Director'}, {'actor': 'Jude Okwudiafor Johnson', 'role': 'Writer'}, {'actor': 'Toby Osborne', 'role': 'Writer'}, {'actor': 'Adam Okwudiafor Johnson', 'role': 'Writer'}, {'actor': 'Garfield Bryant', 'role': 'Writer'}, {'actor': 'Joseph Okwudiafor Johnson', 'role': 'Writer'}, {'actor': 'Jude Okwudiafor Johnson', 'role': 'Producer'}, {'actor': 'Wendell Hanes', 'role': 'Composer'}, {'actor': 'Aaron Leong', 'role': 'Cinematographer'}, {'actor': 'Justin Clare', 'role': 'Editor'}, {'actor': 'David Sandoval Rios', 'role': 'Editor'}, {'actor': 'Heidi Montag', 'role': 'Dean See more'}, {'actor': 'Vernon Davis', 'role': 'Coach See more'}, {'actor': 'Denise Boutte', 'role': 'Dr. Vanessa Johnson See more'}, {'actor': 'Benjamin A. Onyango', 'role': 'Rev. Chuwkumah See more'}]","[{'name': 'Jude Okwudiafor Johnson', 'role': 'Director'}, {'name': 'Jude Okwudiafor Johnson', 'role': 'Writer'}, {'name': 'Toby Osborne', 'role': 'Writer'}, {'name': 'Adam Okwudiafor Johnson', 'role': 'Writer'}, {'name': 'Garfield Bryant', 'role': 'Writer'}, {'name': 'Joseph Okwudiafor Johnson', 'role': 'Writer'}, {'name': 'Jude Okwudiafor Johnson', 'role': 'Producer'}, {'name': 'Wendell Hanes', 'role': 'Composer'}, {'name': 'Aaron Leong', 'role': 'Cinematographer'}, {'name': 'Justin Clare', 'role': 'Editor'}, {'name': 'David Sandoval Rios', 'role': 'Editor'}, {'name': 'Heidi Montag', 'role': 'Dean See more'}, {'name': 'Vernon Davis', 'role': 'Coach See more'}, {'name': 'Denise Boutte', 'role': 'Dr. Vanessa Johnson See more'}, {'name': 'Benjamin A. Onyango', 'role': 'Rev. Chuwkumah See more'}]",Drama Family Romance Sport,5470,,5470,Senior Year: Love Never Fails,2023,4075,"September 29, 2023 (Domestic)",107,https://www.boxofficemojo.com/title/tt18265772/
Canelo vs. Charlo,,,,,,,,Canelo vs. Charlo,2023,,"September 30, 2023 (Domestic)",240,https://www.boxofficemojo.com/title/tt28753631/
Story Ave,,"[{'actor': 'Aristotle Torres', 'role': 'Director'}, {'actor': 'Aristotle Torres', 'role': 'Writer'}, {'actor': 'Bonsu Thompson', 'role': 'Writer'}, {'actor': 'Jamie Foxx', 'role': 'Producer'}, {'actor': 'Lizzie Shapiro', 'role': 'Producer'}, {'actor': 'Aristotle Torres', 'role': 'Producer'}, {'actor': 'Datari Turner', 'role': 'Producer'}, {'actor': 'Pierre Charles', 'role': 'Composer'}, {'actor': 'Eric Branco', 'role': 'Cinematographer'}, {'actor': 'Jasmin Way', 'role': 'Editor'}, {'actor': 'Cheyenne Ford', 'role': 'Production Designer'}, {'actor': 'Asante Blackk', 'role': 'Kadir Grayson See more'}, {'actor': 'Luis Guzmán', 'role': 'Luis Torres See more'}, {'actor': 'Melvin Gregg', 'role': 'Sean Skemes Hernandez See more'}, {'actor': 'Alex R. Hibbert', 'role': 'Maurice Moe Hernandeez See more'}]","[{'name': 'Aristotle Torres', 'role': 'Director'}, {'name': 'Aristotle Torres', 'role': 'Writer'}, {'name': 'Bonsu Thompson', 'role': 'Writer'}, {'name': 'Jamie Foxx', 'role': 'Producer'}, {'name': 'Lizzie Shapiro', 'role': 'Producer'}, {'name': 'Aristotle Torres', 'role': 'Producer'}, {'name': 'Datari Turner', 'role': 'Producer'}, {'name': 'Pierre Charles', 'role': 'Composer'}, {'name': 'Eric Branco', 'role': 'Cinematographer'}, {'name': 'Jasmin Way', 'role': 'Editor'}, {'name': 'Cheyenne Ford', 'role': 'Production Designer'}, {'name': 'Asante Blackk', 'role': 'Kadir Grayson See more'}, {'name': 'Luis Guzmán', 'role': 'Luis Torres See more'}, {'name': 'Melvin Gregg', 'role': 'Sean Skemes Hernandez See more'}, {'name': 'Alex R. Hibbert', 'role': 'Maurice Moe Hernandeez See more'}]",Drama,60218,,60218,Story Ave,2023,9474,"September 29, 2023 (Domestic)",106,https://www.boxofficemojo.com/title/tt21877154/
Muzzle,,"[{'actor': 'John Stalberg Jr.', 'role': 'Director'}, {'actor': 'Carlyle Eubank', 'role': 'Writer'}, {'actor': 'John Stalberg Jr.', 'role': 'Writer'}, {'actor': 'Ford Corbett', 'role': 'Producer'}, {'actor': 'David Frigerio', 'role': 'Producer'}, {'actor': 'B.D. Gunnell', 'role': 'Producer'}, {'actor': 'Oliver Hudson', 'role': 'Producer'}, {'actor': 'Nathan Klingher', 'role': 'Producer'}, {'actor': 'Scott Powell', 'role': 'Producer'}, {'actor': 'Wyatt Russell', 'role': 'Producer'}, {'actor': 'John Stalberg Jr.', 'role': 'Producer'}, {'actor': 'Ryan Winterstern', 'role': 'Producer'}, {'actor': 'Paul Gallister', 'role': 'Composer'}, {'actor': 'Massimo Vivona', 'role': 'Composer'}, {'actor': 'Pieter Vermeer', 'role': 'Cinematographer'}, {'actor': 'Bella Erikson', 'role': 'Editor'}, {'actor': 'Andrew Reznik', 'role': 'Production Designer'}, {'actor': 'Aaron Eckhart', 'role': 'Jake Rosser See more'}, {'actor': 'Penelope Mitchell', 'role': 'Mia See more'}, {'actor': 'Diego Tinoco', 'role': 'Hernandez See more'}, {'actor': 'Stephen Lang', 'role': 'Leland See more'}]","[{'name': 'John Stalberg Jr.', 'role': 'Director'}, {'name': 'Carlyle Eubank', 'role': 'Writer'}, {'name': 'John Stalberg Jr.', 'role': 'Writer'}, {'name': 'Ford Corbett', 'role': 'Producer'}, {'name': 'David Frigerio', 'role': 'Producer'}, {'name': 'B.D. Gunnell', 'role': 'Producer'}, {'name': 'Oliver Hudson', 'role': 'Producer'}, {'name': 'Nathan Klingher', 'role': 'Producer'}, {'name': 'Scott Powell', 'role': 'Producer'}, {'name': 'Wyatt Russell', 'role': 'Producer'}, {'name': 'John Stalberg Jr.', 'role': 'Producer'}, {'name': 'Ryan Winterstern', 'role': 'Producer'}, {'name': 'Paul Gallister', 'role': 'Composer'}, {'name': 'Massimo Vivona', 'role': 'Composer'}, {'name': 'Pieter Vermeer', 'role': 'Cinematographer'}, {'name': 'Bella Erikson', 'role': 'Editor'}, {'name': 'Andrew Reznik', 'role': 'Production Designer'}, {'name': 'Aaron Eckhart', 'role': 'Jake Rosser See more'}, {'name': 'Penelope Mitchell', 'role': 'Mia See more'}, {'name': 'Diego Tinoco', 'role': 'Hernandez See more'}, {'name': 'Stephen Lang', 'role': 'Leland See more'}]",Action Crime Drama Thriller,7807,16546,24353,Muzzle,2023,5047,"September 29, 2023 (Domestic)",100,https://www.boxofficemojo.com/title/tt17663876/
Common Ground,,"[{'actor': 'Joshua Tickell', 'role': 'Director'}, {'actor': 'Rebecca Harrell Tickell', 'role': 'Director'}, {'actor': ""Johnny O'Hara"", 'role': 'Writer'}, {'actor': 'Joshua Tickell', 'role': 'Writer'}, {'actor': 'Rebecca Harrell Tickell', 'role': 'Writer'}, {'actor': 'Eric Dillon', 'role': 'Producer'}, {'actor': 'Joshua Tickell', 'role': 'Producer'}, {'actor': 'Rebecca Harrell Tickell', 'role': 'Producer'}, {'actor': 'Ryan Michael Demaree', 'role': 'Composer'}, {'actor': 'Kirby James Fairchild', 'role': 'Composer'}, {'actor': 'Jacob Samuel Snider', 'role': 'Composer'}, {'actor': 'Simon Balderas', 'role': 'Cinematographer'}, {'actor': 'Joaquim Pujol', 'role': 'Cinematographer'}, {'actor': 'Anthony Ellison', 'role': 'Editor'}, {'actor': 'Ryan A Nichols', 'role': 'Editor'}, {'actor': 'Jason Momoa', 'role': 'Self - Actor & Activist See more'}, {'actor': 'Joshua Tickell', 'role': 'Self - Director & Producer See more'}, {'actor': 'Rebecca Harrell Tickell', 'role': 'Self - Director & Producer See more'}, {'actor': 'Laura Dern', 'role': 'Self - Actor & Activist See more'}]","[{'name': 'Joshua Tickell', 'role': 'Director'}, {'name': 'Rebecca Harrell Tickell', 'role': 'Director'}, {'name': ""Johnny O'Hara"", 'role': 'Writer'}, {'name': 'Joshua Tickell', 'role': 'Writer'}, {'name': 'Rebecca Harrell Tickell', 'role': 'Writer'}, {'name': 'Eric Dillon', 'role': 'Producer'}, {'name': 'Joshua Tickell', 'role': 'Producer'}, {'name': 'Rebecca Harrell Tickell', 'role': 'Producer'}, {'name': 'Ryan Michael Demaree', 'role': 'Composer'}, {'name': 'Kirby James Fairchild', 'role': 'Composer'}, {'name': 'Jacob Samuel Snider', 'role': 'Composer'}, {'name': 'Simon Balderas', 'role': 'Cinematographer'}, {'name': 'Joaquim Pujol', 'role': 'Cinematographer'}, {'name': 'Anthony Ellison', 'role': 'Editor'}, {'name': 'Ryan A Nichols', 'role': 'Editor'}, {'name': 'Jason Momoa', 'role': 'Self - Actor & Activist See more'}, {'name': 'Joshua Tickell', 'role': 'Self - Director & Producer See more'}, {'name': 'Rebecca Harrell Tickell', 'role': 'Self - Director & Producer See more'}, {'name': 'Laura Dern', 'role': 'Self - Actor & Activist See more'}]",Documentary,259959,6000,265959,Common Ground,2023,31450,"September 29, 2023 (Domestic)",101,https://www.boxofficemojo.com/title/tt27547378/
On Fire,,"[{'actor': 'Peter Facinelli', 'role': 'Director'}, {'actor': 'Nick Lyon', 'role': 'Director'}, {'actor': 'Nick Lyon', 'role': 'Writer'}, {'actor': 'Ron Peer', 'role': 'Writer'}, {'actor': 'Beth Bruce', 'role': 'Producer'}, {'actor': 'Peter Facinelli', 'role': 'Producer'}, {'actor': 'Matthew Joynes', 'role': 'Producer'}, {'actor': 'Nick Lyon', 'role': 'Producer'}, {'actor': 'Suzanne Weinert', 'role': 'Producer'}, {'actor': 'Peter Winther', 'role': 'Producer'}, {'actor': 'Sacha Chaban', 'role': 'Composer'}, {'actor': 'Philip Roy', 'role': 'Cinematographer'}, {'actor': 'Robin Gonsalves', 'role': 'Editor'}, {'actor': 'Don Money', 'role': 'Editor'}, {'actor': 'Winona Yu', 'role': 'Production Designer'}, {'actor': 'Peter Facinelli', 'role': 'Dave Laughlin See more'}, {'actor': 'Fiona Dourif', 'role': 'Sarah Laughlin See more'}, {'actor': 'Asher Angel', 'role': 'Clay Laughlin See more'}, {'actor': 'Lance Henriksen', 'role': 'George Laughlin See more'}]","[{'name': 'Peter Facinelli', 'role': 'Director'}, {'name': 'Nick Lyon', 'role': 'Director'}, {'name': 'Nick Lyon', 'role': 'Writer'}, {'name': 'Ron Peer', 'role': 'Writer'}, {'name': 'Beth Bruce', 'role': 'Producer'}, {'name': 'Peter Facinelli', 'role': 'Producer'}, {'name': 'Matthew Joynes', 'role': 'Producer'}, {'name': 'Nick Lyon', 'role': 'Producer'}, {'name': 'Suzanne Weinert', 'role': 'Producer'}, {'name': 'Peter Winther', 'role': 'Producer'}, {'name': 'Sacha Chaban', 'role': 'Composer'}, {'name': 'Philip Roy', 'role': 'Cinematographer'}, {'name': 'Robin Gonsalves', 'role': 'Editor'}, {'name': 'Don Money', 'role': 'Editor'}, {'name': 'Winona Yu', 'role': 'Production Designer'}, {'name': 'Peter Facinelli', 'role': 'Dave Laughlin See more'}, {'name': 'Fiona Dourif', 'role': 'Sarah Laughlin See more'}, {'name': 'Asher Angel', 'role': 'Clay Laughlin See more'}, {'name': 'Lance Henriksen', 'role': 'George Laughlin See more'}]",Drama Mystery Thriller,205118,40207,245325,On Fire,2023,134825,"September 29, 2023 (Domestic)",80,https://www.boxofficemojo.com/title/tt15783520/
Saw X,,"[{'actor': 'Kevin Greutert', 'role': 'Director'}, {'actor': 'Pete Goldfinger', 'role': 'Writer'}, {'actor': 'Josh Stolberg', 'role': 'Writer'}, {'actor': 'Mark Burg', 'role': 'Producer'}, {'actor': 'Oren Koules', 'role': 'Producer'}, {'actor': 'Charlie Clouser', 'role': 'Composer'}, {'actor': 'Nick Matthews', 'role': 'Cinematographer'}, {'actor': 'Kevin Greutert', 'role': 'Editor'}, {'actor': 'Anthony Stabley', 'role': 'Production Designer'}, {'actor': 'Tobin Bell', 'role': 'John Kramer See more'}, {'actor': 'Shawnee Smith', 'role': 'Amanda Young See more'}, {'actor': 'Synnøve Macody Lund', 'role': 'Cecilia Pederson See more'}, {'actor': 'Steven Brand', 'role': 'Parker Sears See more'}]","[{'name': 'Kevin Greutert', 'role': 'Director'}, {'name': 'Pete Goldfinger', 'role': 'Writer'}, {'name': 'Josh Stolberg', 'role': 'Writer'}, {'name': 'Mark Burg', 'role': 'Producer'}, {'name': 'Oren Koules', 'role': 'Producer'}, {'name': 'Charlie Clouser', 'role': 'Composer'}, {'name': 'Nick Matthews', 'role': 'Cinematographer'}, {'name': 'Kevin Greutert', 'role': 'Editor'}, {'name': 'Anthony Stabley', 'role': 'Production Designer'}, {'name': 'Tobin Bell', 'role': 'John Kramer See more'}, {'name': 'Shawnee Smith', 'role': 'Amanda Young See more'}, {'name': 'Synnøve Macody Lund', 'role': 'Cecilia Pederson See more'}, {'name': 'Steven Brand', 'role': 'Parker Sears See more'}]",Horror Mystery Thriller,53607898,59212356,112820254,Saw X,2023,18309301,"September 27, 2023 (EMEA, APAC)",118,https://www.boxofficemojo.com/title/tt21807222/
